No,Akun,Account_EN,Januari-2024,Februari-2024,Maret-2024,April-2024,Mei-2024,Juni-2024,Juli-2024,Agustus-2024,September-2024,Oktober-2024,November-2024,Desember-2024,Januari-2025,Februari-2025,Maret-2025,April-2025,Mei-2025,Juni-2025,Juli-2025
52,Pinjaman Subordinasi,Subordinate Loan,1149292.0,1138859.0,1139102.0,1123320.0,1106945.0,1111195.0,1141695.0,1163270.0,1167170.0,1161170.0,1136470.0,1172708.0,1184120.0,1185830.0,1186712.0,1153068.0,1151646.0,1146996.0,1149882.0
53,Modal Disetor,Paid in Capital,35003080.0,35048082.0,35093082.0,35098852.0,35098852.0,35298852.0,35338852.0,35456765.0,35450995.0,35481765.0,35541765.0,36032765.0,35945973.0,35995973.0,35995973.0,36020973.0,36020973.0,36020973.0,36040973.0
54,Agio Saham,Premium Stock,1576047.0,1576048.0,1575831.0,1575758.0,1575577.0,1575233.0,2074168.0,2074168.0,2074168.0,2076439.0,2076439.0,2056724.0,2056724.0,2056724.0,2056714.0,2055715.0,2055715.0,2075715.0,2049856.0
55,Saldo Laba,Retained Earning,43288838.0,44062569.0,44519035.0,35178573.0,35565067.0,36094990.0,37684257.0,38276148.0,38377839.0,19631837.0,25228698.0,29972729.0,49288965.0,49890805.0,50165223.0,52021051.0,51455355.0,52406778.0,36228506.0
56,Komponen Ekuitas Lainnya,Other Equity Components,9212088.0,9245495.0,8995532.0,7879167.0,7987124.0,7667254.0,7498385.0,7878721.0,8415849.0,7830667.0,7404621.0,6623381.0,-11287075.0,-11397615.0,-11545893.0,-11085595.0,-10806802.0,-10626440.0,7030909.0
57,Jumlah Ekuitas,Total Equities,89080053.0,89932193.0,90183479.0,79732348.0,80226619.0,80636328.0,82595661.0,83685801.0,84318851.0,65020708.0,70251523.0,74685598.0,76004587.0,76545887.0,76672017.0,79012144.0,78725242.0,79877026.0,81350243.0
58,JUMLAH LIABILITAS DAN EKUITAS,Total Liabilities and Equities,230054099.0,234264316.0,234643082.0,235338969.0,233783237.0,236339127.0,238032432.0,236694728.0,234843517.0,235552324.0,233226067.0,242913624.0,249834981.0,252972369.0,254020874.0,260005591.0,255280040.0,257230783.0,259699663.0
6,Surat Berharga yang Diterbitkan oleh Negara RI,Marketable Securities Issued By Republic Indonesia,36326667.0,36713270.0,36883478.0,37115635.0,37987625.0,38534277.0,38753976.0,40562770.0,41536005.0,40641300.0,41202196.0,41707042.0,42460266.0,43328134.0,43846124.0,44413686.0,44920873.0,44515735.0,45728663.0
7,Surat Berharga yang Diterbitkan oleh Negara Selain Negara RI,Marketable Securities Issued By other than Republic Indonesia,40126.0,39281.0,39685.0,40318.0,40499.0,41061.0,41188.0,38958.0,76988.0,79207.0,79803.0,81185.0,81667.0,82683.0,83471.0,84320.0,81560.0,81489.0,82025.0
8,Surat Berharga yang Diterbitkan oleh Bank Indonesia,Marketable Securities Issued By Bank Indonesia,,,,27059.0,290271.0,432088.0,824285.0,1072358.0,1190085.0,2208881.0,2513238.0,2713804.0,2732826.0,2805275.0,2915085.0,2696159.0,2601420.0,2422743.0,1987780.0
9,Surat Berharga yang Diterbitkan oleh Lembaga Multinasional,Marketable Securities Issued By Multinational Institution,,,,,,,,,,,,,,,,,,,
