,,,,,,,,,,,,,,Dalam Jutaan Rupiah / In Millions Rupiah
Laporan Posisi Keuangan / Statement Of Financial Position,,,,,,,,,,,,,,
Asuransi Umum Konvensional/Conventional General Insurance ,,,,,,,,,,,,,,
,Akun,"Januari/
January","Februari/
February","Maret/
March","April/
April","Mei/
May","Juni/
June","Juli/
July","Agustus/
August","September/
September","Oktober/
October","November/
November","Desember/
December",Account
38,Utang Klaim," 2,039,959 "," 1,988,555 "," 2,123,717 "," 2,297,345 "," 2,111,881 "," 2,038,440 "," 2,252,245 "," 2,533,181 "," 2,331,849 "," 2,744,678 "," 2,590,495 "," 3,158,199 ", Claims Payable 
39,Utang Koasuransi," 1,408,619 "," 1,362,898 "," 1,286,386 "," 1,206,344 "," 1,397,229 "," 1,393,300 "," 1,440,690 "," 1,276,825 "," 1,046,458 "," 1,042,189 "," 1,023,837 "," 1,161,835 ", Coinsurance Payable 
40,Utang Reasuransi," 12,598,463 "," 12,291,160 "," 11,397,244 "," 11,884,888 "," 11,906,741 "," 12,880,355 "," 13,374,105 "," 12,720,108 "," 12,038,539 "," 12,225,038 "," 12,392,368 "," 13,606,158 ", Reinsurance Payable 
41,Utang Komisi," 2,280,151 "," 2,328,092 "," 2,326,590 "," 2,373,121 "," 2,275,311 "," 2,318,558 "," 2,295,237 "," 2,250,271 "," 2,242,320 "," 2,228,408 "," 2,229,001 "," 2,279,857 ", Commission Payable 
42,Utang Pajak," 1,230,386 "," 1,207,938 "," 1,228,094 "," 722,784 "," 874,185 "," 913,136 "," 914,219 "," 881,170 "," 889,051 "," 971,220 "," 952,296 "," 991,142 ", Tax Payable 
43,Biaya yang Masih Harus Dibayar ," 3,100,254 "," 2,937,247 "," 2,672,815 "," 2,716,192 "," 2,674,970 "," 2,485,897 "," 2,497,351 "," 2,453,027 "," 2,609,110 "," 2,853,115 "," 2,948,348 "," 2,879,414 ", Accrued Expense 
44,Utang Lain," 14,889,945 "," 15,775,220 "," 15,755,064 "," 16,894,926 "," 16,231,001 "," 15,849,548 "," 15,844,024 "," 16,071,225 "," 16,369,642 "," 15,673,368 "," 15,523,138 "," 15,868,353 ", Others Payable 
45,Jumlah Utang ," 37,547,777 "," 37,891,110 "," 36,789,910 "," 38,095,601 "," 37,471,318 "," 37,879,232 "," 38,617,871 "," 38,185,807 "," 37,526,970 "," 37,738,017 "," 37,659,483 "," 39,944,958 ", Total Payable 
46,Cadangan Premi," 23,796,496 "," 23,392,587 "," 23,433,341 "," 29,887,187 "," 29,787,904 "," 28,949,020 "," 28,576,157 "," 28,708,566 "," 29,152,629 "," 50,649,298 "," 43,986,724 "," 44,002,491 ", Premium Reserve 
47,Cadangan Atas Premi Yang Belum Merupakan Pendapatan," 28,779,708 "," 31,032,967 "," 30,514,624 "," 29,916,418 "," 29,935,065 "," 31,754,214 "," 30,772,223 "," 29,768,628 "," 28,396,555 "," 27,917,602 "," 26,507,367 "," 30,731,023 ", Unearned Premium Reserve 
